aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flightStates;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpen;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
777;77W;ACC;codeshares;ARR,EXP;N;False;A;DL9373;9373;F7;F;143576110761938048;True;KL0590;DL;DAL;58;PHBVI;J;3.0;2025-11-05 05:01:50+00:00;2025-11-05 06:51:23.087000+00:00;2025-11-05 05:01:34+00:00;2025-11-05 04:45:00+00:00;;;;;2025-11-05 06:08:37.848000+00:00;;
777;77W;ACC;codeshares;ARR,EXP;N;False;A;KL0590;590;F7;F;143576111731847310;True;KL0590;KL;KLM;100;PHBVI;J;3.0;2025-11-05 05:01:50+00:00;2025-11-05 06:51:23.087000+00:00;2025-11-05 05:01:34+00:00;2025-11-05 04:45:00+00:00;;;;;2025-11-05 06:08:37.848000+00:00;;
330;332;LOS;codeshares;ARR,EXP;N;False;A;AF5479;5479;E6;E;143576110322981900;True;KL0588;AF;AFR;80;PHAOC;J;3.0;2025-11-05 04:31:11+00:00;2025-11-05 06:00:59.110000+00:00;2025-11-05 04:31:06+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:28:32.338000+00:00;;
330;339;JFK;codeshares;ARR,EXP;N;False;A;AF5591;5591;E17;E;143576110322984770;True;DL0046;AF;AFR;80;N431DX;J;3.0;2025-11-05 04:30:07+00:00;2025-11-05 06:15:18.075000+00:00;2025-11-05 04:29:12+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:37:46.948000+00:00;;
787;781;ATL;codeshares;ARR,EXP;N;False;A;AF6695;6695;F9;F;143576110323088822;True;KL0624;AF;AFR;80;PHBKH;J;3.0;2025-11-05 04:33:24+00:00;2025-11-05 06:11:55.085000+00:00;2025-11-05 04:32:45+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:34:17.992000+00:00;;
330;339;JFK;codeshares;ARR,EXP;N;False;A;DL0046;46;E17;E;143576110761017864;True;DL0046;DL;DAL;58;N431DX;J;3.0;2025-11-05 04:30:07+00:00;2025-11-05 06:15:18.075000+00:00;2025-11-05 04:29:12+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:37:46.948000+00:00;;
330;332;LOS;codeshares;ARR,EXP;N;False;A;DL9507;9507;E6;E;143576110761943014;True;KL0588;DL;DAL;58;PHAOC;J;3.0;2025-11-05 04:31:11+00:00;2025-11-05 06:00:59.110000+00:00;2025-11-05 04:31:06+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:28:32.338000+00:00;;
787;781;ATL;codeshares;ARR,EXP;N;False;A;DL9667;9667;F9;F;143576110761946196;True;KL0624;DL;DAL;58;PHBKH;J;3.0;2025-11-05 04:33:24+00:00;2025-11-05 06:11:55.085000+00:00;2025-11-05 04:32:45+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:34:17.992000+00:00;;
330;332;LOS;codeshares;ARR,EXP;N;False;A;KL0588;588;E6;E;143576111731847252;True;KL0588;KL;KLM;100;PHAOC;J;3.0;2025-11-05 04:31:11+00:00;2025-11-05 06:00:59.110000+00:00;2025-11-05 04:31:06+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:28:32.338000+00:00;;
787;781;ATL;codeshares;ARR,EXP;N;False;A;KL0624;624;F9;F;143576111731849538;True;KL0624;KL;KLM;100;PHBKH;J;3.0;2025-11-05 04:33:24+00:00;2025-11-05 06:11:55.085000+00:00;2025-11-05 04:32:45+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:34:17.992000+00:00;;
330;339;JFK;codeshares;ARR,EXP;N;False;A;KL6070;6070;E17;E;143576111732441308;True;DL0046;KL;KLM;100;N431DX;J;3.0;2025-11-05 04:30:07+00:00;2025-11-05 06:15:18.075000+00:00;2025-11-05 04:29:12+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:37:46.948000+00:00;;
330;339;JFK;codeshares;ARR,EXP;N;False;A;VS3928;3928;E17;E;143576113283966986;True;DL0046;VS;VIR;181;N431DX;J;3.0;2025-11-05 04:30:07+00:00;2025-11-05 06:15:18.075000+00:00;2025-11-05 04:29:12+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:37:46.948000+00:00;;
787;781;ATL;codeshares;ARR,EXP;N;False;A;VS7113;7113;F9;F;143576113284350222;True;KL0624;VS;VIR;181;PHBKH;J;3.0;2025-11-05 04:33:24+00:00;2025-11-05 06:11:55.085000+00:00;2025-11-05 04:32:45+00:00;2025-11-05 04:55:00+00:00;;;;;2025-11-05 05:34:17.992000+00:00;;
330;333;DTW;codeshares;ARR,EXP;N;False;A;AF5606;5606;D47;D;143576110322986852;True;DL0132;AF;AFR;80;N822NW;J;2.0;2025-11-05 04:27:40+00:00;2025-11-05 05:59:04.087000+00:00;2025-11-05 04:27:14+00:00;2025-11-05 05:00:00+00:00;;;;;2025-11-05 05:25:53.573000+00:00;;
330;333;DTW;codeshares;ARR,EXP;N;False;A;DL0132;132;D47;D;143576110761020520;True;DL0132;DL;DAL;58;N822NW;J;2.0;2025-11-05 04:27:40+00:00;2025-11-05 05:59:04.087000+00:00;2025-11-05 04:27:14+00:00;2025-11-05 05:00:00+00:00;;;;;2025-11-05 05:25:53.573000+00:00;;
777;77W;PBM;;ARR,EXP;N;False;A;KL0714;714;E24;E;143576111731852202;True;KL0714;KL;KLM;100;PHBVW;J;4.0;2025-11-05 04:44:02+00:00;2025-11-05 06:28:56.101000+00:00;2025-11-05 04:43:14+00:00;2025-11-05 05:00:00+00:00;;;;;2025-11-05 05:59:57.008000+00:00;;
330;333;DTW;codeshares;ARR,EXP;N;False;A;KL6018;6018;D47;D;143576111732440880;True;DL0132;KL;KLM;100;N822NW;J;2.0;2025-11-05 04:27:40+00:00;2025-11-05 05:59:04.087000+00:00;2025-11-05 04:27:14+00:00;2025-11-05 05:00:00+00:00;;;;;2025-11-05 05:25:53.573000+00:00;;
330;333;DTW;codeshares;ARR,EXP;N;False;A;VS3929;3929;D47;D;143576113283966988;True;DL0132;VS;VIR;181;N822NW;J;2.0;2025-11-05 04:27:40+00:00;2025-11-05 05:59:04.087000+00:00;2025-11-05 04:27:14+00:00;2025-11-05 05:00:00+00:00;;;;;2025-11-05 05:25:53.573000+00:00;;
787;789;CGK,KUL;codeshares;ARR,EXP;N;False;A;AF8398;8398;F5;F;143576110323283226;True;KL0810;AF;AFR;80;PHBHC;J;3.0;2025-11-05 04:54:37+00:00;2025-11-05 06:37:26.079000+00:00;2025-11-05 04:54:31+00:00;2025-11-05 05:10:00+00:00;;;;;2025-11-05 05:53:16.240000+00:00;;
787;789;CGK,KUL;codeshares;ARR,EXP;N;False;A;GA9088;9088;F5;F;143576111136762118;True;KL0810;GA;GIA;85;PHBHC;J;3.0;2025-11-05 04:54:37+00:00;2025-11-05 06:37:26.079000+00:00;2025-11-05 04:54:31+00:00;2025-11-05 05:10:00+00:00;;;;;2025-11-05 05:53:16.240000+00:00;;
787;789;CGK,KUL;codeshares;ARR,EXP;N;False;A;KL0810;810;F5;F;143576111731854932;True;KL0810;KL;KLM;100;PHBHC;J;3.0;2025-11-05 04:54:37+00:00;2025-11-05 06:37:26.079000+00:00;2025-11-05 04:54:31+00:00;2025-11-05 05:10:00+00:00;;;;;2025-11-05 05:53:16.240000+00:00;;
787;789;CGK,KUL;codeshares;ARR,EXP;N;False;A;MH5632;5632;F5;F;143576111994738678;True;KL0810;MH;MAS;5065;PHBHC;J;3.0;2025-11-05 04:54:37+00:00;2025-11-05 06:37:26.079000+00:00;2025-11-05 04:54:31+00:00;2025-11-05 05:10:00+00:00;;;;;2025-11-05 05:53:16.240000+00:00;;
787;789;GRU;codeshares;ARR;N;False;A;AF3167;3167;E19;E;143576110322770996;True;KL0794;AF;AFR;80;PHBHL;J;3.0;2025-11-05 05:11:46+00:00;2025-11-05 06:42:39.083000+00:00;2025-11-05 05:11:36+00:00;2025-11-05 05:20:00+00:00;;;;;2025-11-05 06:10:22.894000+00:00;;
787;789;GRU;codeshares;ARR;N;False;A;G35623;5623;E19;E;143576111245074206;True;KL0794;G3;GLO;4918;PHBHL;J;3.0;2025-11-05 05:11:46+00:00;2025-11-05 06:42:39.083000+00:00;2025-11-05 05:11:36+00:00;2025-11-05 05:20:00+00:00;;;;;2025-11-05 06:10:22.894000+00:00;;
787;789;GRU;codeshares;ARR;N;False;A;KL0794;794;E19;E;143576111731852794;True;KL0794;KL;KLM;100;PHBHL;J;3.0;2025-11-05 05:11:46+00:00;2025-11-05 06:42:39.083000+00:00;2025-11-05 05:11:36+00:00;2025-11-05 05:20:00+00:00;;;;;2025-11-05 06:10:22.894000+00:00;;
787;789;GRU;codeshares;ARR;N;False;A;SK6851;6851;E19;E;143576112838218056;True;KL0794;SK;SAS;150;PHBHL;J;3.0;2025-11-05 05:11:46+00:00;2025-11-05 06:42:39.083000+00:00;2025-11-05 05:11:36+00:00;2025-11-05 05:20:00+00:00;;;;;2025-11-05 06:10:22.894000+00:00;;
32S;32Q;FNC;codeshares;DEP;S;False;D;HV6629;6629;C11;C;143576111353876863;True;HV6629;HV;TRA;164;PHYHD;J;1.0;;2025-11-05 05:35:04.328000+00:00;;2025-11-05 05:25:00+00:00;2025-11-05 05:25:13+00:00;;;;;;
32S;32Q;FNC;codeshares;DEP;S;False;D;KL2697;2697;C11;C;143576111732052675;True;HV6629;KL;KLM;100;PHYHD;J;1.0;;2025-11-05 05:35:04.328000+00:00;;2025-11-05 05:25:00+00:00;2025-11-05 05:25:13+00:00;;;;;;
350;351;HKG;;ARR,EXP;N;False;A;CX271;271;G3;G;143576110172233080;True;CX271;CX;CPA;4826;BLXO;J;4.0;2025-11-05 05:09:51+00:00;2025-11-05 07:24:45.112000+00:00;2025-11-05 05:09:35+00:00;2025-11-05 05:30:00+00:00;;;;;2025-11-05 06:02:42.845000+00:00;;
737;73H;DXB;;DEP;N;False;D;HV6901;6901;E20;E;143576111353884913;True;HV6901;HV;TRA;164;PHHXG;J;1.0;;2025-11-05 05:48:20.457000+00:00;;2025-11-05 05:30:00+00:00;2025-11-05 05:38:29+00:00;;;;;;
737;73H;GRX;;DEP;S;False;D;HV5931;5931;C9;C;143576111353783829;True;HV5931;HV;TRA;164;PHHSW;J;1.0;;2025-11-05 05:54:29.187000+00:00;;2025-11-05 05:35:00+00:00;2025-11-05 05:40:31+00:00;;;;;;
737;73H;VLC;codeshares;DEP;S;False;D;HV6331;6331;C5;C;143576111353868707;True;HV6331;HV;TRA;164;PHHXD;J;1.0;;2025-11-05 05:43:39.558000+00:00;;2025-11-05 05:35:00+00:00;2025-11-05 05:33:58+00:00;;;;;;
737;73H;VLC;codeshares;DEP;S;False;D;KL2659;2659;C5;C;143576111732052383;True;HV6331;KL;KLM;100;PHHXD;J;1.0;;2025-11-05 05:43:39.558000+00:00;;2025-11-05 05:35:00+00:00;2025-11-05 05:33:58+00:00;;;;;;
32S;32Q;AGP;codeshares;DEP;S;False;D;HV6115;6115;D84;D;143576111353863091;True;HV6115;HV;TRA;164;PHYHX;J;1.0;;2025-11-05 05:49:45.722000+00:00;;2025-11-05 05:40:00+00:00;2025-11-05 05:39:13+00:00;;;;;;
32S;32Q;AGP;codeshares;DEP;S;False;D;KL2649;2649;D84;D;143576111732052309;True;HV6115;KL;KLM;100;PHYHX;J;1.0;;2025-11-05 05:49:45.722000+00:00;;2025-11-05 05:40:00+00:00;2025-11-05 05:39:13+00:00;;;;;;
350;359;SIN;;ARR,EXP;N;False;A;SQ324;324;G9;G;143576110231499464;True;SQ324;SQ;SIA;152;9VSMD;J;3.0;2025-11-05 05:32:26+00:00;2025-11-05 07:50:07.127000+00:00;2025-11-05 05:32:51+00:00;2025-11-05 05:45:00+00:00;;;;;2025-11-05 06:36:29.919000+00:00;;
787;781;JFK;codeshares;ARR,EXP;N;False;A;AF6715;6715;D2;D;143576110323090968;True;KL0642;AF;AFR;80;PHBKM;J;3.0;2025-11-05 05:25:51+00:00;2025-11-05 07:12:03.089000+00:00;2025-11-05 05:25:10+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:41:12.872000+00:00;;
787;781;DXB;codeshares;ARR,EXP;N;False;A;AF8422;8422;E18;E;143576110323285434;True;KL0428;AF;AFR;80;PHBKF;J;2.0;2025-11-05 05:14:45+00:00;2025-11-05 06:56:44.088000+00:00;2025-11-05 05:14:08+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:17:56.837000+00:00;;
330;333;MSP;codeshares;ARR,EXP;N;False;A;AF8975;8975;E2;E;143576110323299500;True;DL0160;AF;AFR;80;N814NW;J;2.0;2025-11-05 05:20:45+00:00;2025-11-05 06:57:29.103000+00:00;2025-11-05 05:20:11+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:23:16.259000+00:00;;
330;333;MSP;codeshares;ARR,EXP;N;False;A;DL0160;160;E2;E;143576110761020738;True;DL0160;DL;DAL;58;N814NW;J;2.0;2025-11-05 05:20:45+00:00;2025-11-05 06:57:29.103000+00:00;2025-11-05 05:20:11+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:23:16.259000+00:00;;
787;781;JFK;codeshares;ARR,EXP;N;False;A;DL9357;9357;D2;D;143576110761937908;True;KL0642;DL;DAL;58;PHBKM;J;3.0;2025-11-05 05:25:51+00:00;2025-11-05 07:12:03.089000+00:00;2025-11-05 05:25:10+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:41:12.872000+00:00;;
787;781;DXB;codeshares;ARR,EXP;N;False;A;DL9501;9501;E18;E;143576110761943002;True;KL0428;DL;DAL;58;PHBKF;J;2.0;2025-11-05 05:14:45+00:00;2025-11-05 06:56:44.088000+00:00;2025-11-05 05:14:08+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:17:56.837000+00:00;;
EMJ;295;OSL;codeshares;DEP;S;False;D;DL9593;9593;B5;B;143576110761943673;True;KL1197;DL;DAL;58;PHNXO;J;1.0;;2025-11-05 06:03:25.174000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:51:15+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:35:00+00:00;2025-11-05 05:20:00+00:00;;;
32S;32Q;ALC;codeshares;DEP;S;False;D;HV6143;6143;D83;D;143576111353863309;True;HV6143;HV;TRA;164;PHYHW;J;1.0;;2025-11-05 05:57:37.830000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:48:15+00:00;;;;;;
32S;32Q;ATH;;DEP;S;False;D;HV6867;6867;B15;B;143576111353882631;True;HV6867;HV;TRA;164;PHYHU;J;1.0;;2025-11-05 06:02:05.560000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:49:03+00:00;;;;;;
EMJ;295;OSL;codeshares;DEP;S;False;D;KE6431;6431;B5;B;143576111706213713;True;KL1197;KE;KAL;105;PHNXO;J;1.0;;2025-11-05 06:03:25.174000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:51:15+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:35:00+00:00;2025-11-05 05:20:00+00:00;;;
787;781;DXB;codeshares;ARR,EXP;N;False;A;KL0428;428;E18;E;143576111731844070;True;KL0428;KL;KLM;100;PHBKF;J;2.0;2025-11-05 05:14:45+00:00;2025-11-05 06:56:44.088000+00:00;2025-11-05 05:14:08+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:17:56.837000+00:00;;
787;781;JFK;codeshares;ARR,EXP;N;False;A;KL0642;642;D2;D;143576111731849682;True;KL0642;KL;KLM;100;PHBKM;J;3.0;2025-11-05 05:25:51+00:00;2025-11-05 07:12:03.089000+00:00;2025-11-05 05:25:10+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:41:12.872000+00:00;;
EMJ;295;OSL;codeshares;DEP;S;False;D;KL1197;1197;B5;B;143576111731937679;True;KL1197;KL;KLM;100;PHNXO;J;1.0;;2025-11-05 06:03:25.174000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:51:15+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:35:00+00:00;2025-11-05 05:20:00+00:00;;;
32S;32Q;ALC;codeshares;DEP;S;False;D;KL2641;2641;D83;D;143576111732052293;True;HV6143;KL;KLM;100;PHYHW;J;1.0;;2025-11-05 05:57:37.830000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:48:15+00:00;;;;;;
330;333;MSP;codeshares;ARR,EXP;N;False;A;KL6064;6064;E2;E;143576111732441242;True;DL0160;KL;KLM;100;N814NW;J;2.0;2025-11-05 05:20:45+00:00;2025-11-05 06:57:29.103000+00:00;2025-11-05 05:20:11+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:23:16.259000+00:00;;
EMJ;295;OSL;codeshares;DEP;S;False;D;MF9704;9704;B5;B;143576111987649779;True;KL1197;MF;CXA;1551;PHNXO;J;1.0;;2025-11-05 06:03:25.174000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:51:15+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:35:00+00:00;2025-11-05 05:20:00+00:00;;;
EMJ;295;OSL;codeshares;DEP;S;False;D;SK6683;6683;B5;B;143576112838212807;True;KL1197;SK;SAS;150;PHNXO;J;1.0;;2025-11-05 06:03:25.174000+00:00;;2025-11-05 05:50:00+00:00;2025-11-05 05:51:15+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:35:00+00:00;2025-11-05 05:20:00+00:00;;;
787;781;DXB;codeshares;ARR,EXP;N;False;A;SK6857;6857;E18;E;143576112838218068;True;KL0428;SK;SAS;150;PHBKF;J;2.0;2025-11-05 05:14:45+00:00;2025-11-05 06:56:44.088000+00:00;2025-11-05 05:14:08+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:17:56.837000+00:00;;
330;333;MSP;codeshares;ARR,EXP;N;False;A;VS3934;3934;E2;E;143576113283967052;True;DL0160;VS;VIR;181;N814NW;J;2.0;2025-11-05 05:20:45+00:00;2025-11-05 06:57:29.103000+00:00;2025-11-05 05:20:11+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:23:16.259000+00:00;;
787;781;JFK;codeshares;ARR,EXP;N;False;A;VS7126;7126;D2;D;143576113284350302;True;KL0642;VS;VIR;181;PHBKM;J;3.0;2025-11-05 05:25:51+00:00;2025-11-05 07:12:03.089000+00:00;2025-11-05 05:25:10+00:00;2025-11-05 05:50:00+00:00;;;;;2025-11-05 06:41:12.872000+00:00;;
EMJ;E90;BRU;codeshares;DEP;S;False;D;6E3218;3218;B6;B;143576114757038293;True;KL1701;6E;IGO;5300;PHEZP;J;1.0;;2025-11-05 06:17:53.409000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 06:09:39+00:00;2025-11-05 05:30:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 05:25:00+00:00;;;
737;73H;CDG;codeshares;DEP;S;False;D;6E3221;3221;C6;C;143576114757038353;True;KL1401;6E;IGO;5300;PHBCH;J;1.0;;2025-11-05 06:15:05.756000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 06:04:45+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 04:55:00+00:00;;;
737;73H;CDG;codeshares;DEP;S;False;D;AF8373;8373;C6;C;143576110323283069;True;KL1401;AF;AFR;80;PHBCH;J;1.0;;2025-11-05 06:15:05.756000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 06:04:45+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 04:55:00+00:00;;;
EMJ;295;ARN;codeshares;DEP;S;False;D;DL9183;9183;B26;B;143576110761932647;True;KL1215;DL;DAL;58;PHNXR;J;1.0;;2025-11-05 06:13:53.987000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 06:01:23+00:00;2025-11-05 05:30:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 05:25:00+00:00;;;
737;73H;CDG;codeshares;DEP;S;False;D;DL9205;9205;C6;C;143576110761934797;True;KL1401;DL;DAL;58;PHBCH;J;1.0;;2025-11-05 06:15:05.756000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 06:04:45+00:00;2025-11-05 05:25:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 04:55:00+00:00;;;
EMJ;E7W;HAM;codeshares;DEP;S;False;D;DL9327;9327;B8;B;143576110761937687;True;KL1751;DL;DAL;58;PHEXH;J;1.0;;2025-11-05 06:05:14.190000+00:00;;2025-11-05 05:55:00+00:00;2025-11-05 05:51:32+00:00;2025-11-05 05:30:00+00:00;2025-11-05 05:40:00+00:00;2025-11-05 05:25:00+00:00;;;
